X,Y,BUS_STOP_N,BUS_ROOF_N,LOC_DESC,X,Y
14787.6649003472,35144.0888000378,21521,B01,PB PACKAGING SYSTEMS,14788,35144
13915.0293006125,35036.45699741,22439,B01,AFT PAR INVESTMENT,13915,35036
23248.6024007117,45891.843898459,46979,B12,OPP BLK 507,23249,45892
9240.00919768878,34049.6528999567,24501,B61,BEF TUAS FLYOVER,9240,34050
13396.0352974591,32905.3624026127,22041,B03,AFT TG KLING RD,13396,32905
35226.2423808872,35946.6307648917,71191,B07A,AFTER DEFU LANE 12,35226,35947
39104.0178970658,35430.8315967448,84201,B05,OPP BLK 761,39104,35431
23165.7964762107,46308.756648812,46649,B03,BLK 515,23166,46309
32716.8538978727,36256.6370028903,62099,B07,CLASSICAL TERR,32717,36257
15178.379998366,35444.6494985804,21209,B08,OPP SIME RENGO PACKAGING LTD,15178,35445
21565.1745998565,47016.1167010931,46709,B03,AFT BLK 1,21565,47016
23807.5229997438,47254.2774984946,46831,B03,BLK 747A CP,23808,47254
38386.8690993971,35012.3334983577,84409,B05,BLK 550,38387,35012
38213.9296007822,33910.1630983126,84029,B04,OPP BLK 32,38214,33910
21911.8242014999,35354.9362997518,42149,B02,AFT KING ALBERT PK,21912,35355
18272.1770004382,36549.5813020656,43371,B03,BLK 109,18272,36550
29837.804698746,30566.3224989119,04149,B01,GRAND PLAZA PARKROYAL,29838,30566
30646.1141998412,35394.1568003344,52429,B01,BLK 17A,30646,35394
20355.0461023703,31889.9557030195,17049,B08,BLK 601,20355,31890
24540.8426021499,49799.2436014611,47131,B05,OPP WAN TAI CO,24541,49799
17719.3091031951,40582.6233995294,44499,B04,BLK 429A CP,17719,40583
21460.580897456,43598.7812989997,48011,B22,OPP MANDAI CAMP 2,21461,43599
18153.149183302,34435.9975102086,28221,B07,OPP INTL BUSINESS PK,18153,34436
19543.7860137748,34870.9008521267,28709,B02,BEF OLD TOH TUCK RD,19544,34871
25077.4176402103,30592.4463614757,11131,B11,QUEENS CONDO,25077,30592
33677.271099525,41382.6554032656,67321,B01A,BLK 311A,33677,41383
24647.7964022684,31325.2568019249,11471,B12,OPP THE FISHERMAN CH,24648,31325
26486.6276971395,31649.9569007236,13041,B04,AFT ROCHALIE DR,26487,31650
34521.7137065838,35874.1713094438,71059,B03,BEF KIM CHUAN RD,34522,35874
11663.5175960845,33921.2288971629,23029,B21,STAMFORD TYRE,11664,33921
16339.5635015703,37346.8809984622,28141,B07,AFT TRACK 22,16340,37347
21724.7999987847,36155.9920004111,42109,B06,OPP BT TIMAH SHOP CTR,21725,36156
27934.5833967858,31884.2166028039,09047,B16,TANG PLAZA,27935,31884
28768.0087997067,32709.2621967599,40031,B07,NEWTON FC,28768,32709
24248.6947031143,47483.8544973919,46791,B03,BLK 722,24249,47484
29534.2720988854,36566.9089012241,53211,B02,OPP RAFFLES INST,29534,36567
28733.9225001228,45996.1004016092,59179,B01,BLK 241,28734,45996
28810.0738995668,40588.3771006013,55159,B06,OPP ANG MO KIO COMM HOSP,28810,40588
31523.3914989076,31721.8669032442,01429,B12,GOLDEN MILE CPLX,31523,31722
29424.4349002882,32452.7445982522,40279,B04,KK WOMEN \& CHILD HOSP,29424,32453
