X,Y,BUS_STOP_N,BUS_ROOF_N,LOC_DESC
12552.1799,32234.1111,23381,B01A,PLANT ENGRG
9900.409299,32962.2156,24089,B01,AFT GUL AVE
15812.1469,34315.2619,21771,B01,BEF NTUC LIFESTYLE CTR
17157.47344,33347.8215,29039,B03,OPP S'PORE WOOD IND
21831.6033,32203.2289,19061,B08,AYER RAJAH TELECOMS
34035.0343,41121.2563,67309,B02,OPP BLK 305 CP
16724.3709,36395.2876,28461,B07,BLK 347
31202.641,44023.3111,68139,B10,BLK 532
30187.7695,31034.5542,1019,B04,BRAS BASAH CPLX
18079.836,38554.8599,43679,B07,BLK 402
12485.9916,34432.5711,23189,B09,BEF FIRST LOKYANG RD
21760.6322,47532.9913,46139,B04,AFT RIVERSIDE RD
29738.6037,28401.388,3239,B02,SHENTON WAY TER
14406.1033,32498.4507,21099,B01,JURONG PIER CHECK-POINT
38361.0676,32804.5196,93071,B01,CRESCENDO BLDG
20296.1383,46486.5182,46041,B37,OPP SRI ARASAKESARI TP
25456.878,32272.1968,11209,B04,OPP PEIRCE RD
39204.3144,34431.1921,84351,B01,BEDOK CTRL PO
19203.8072,41967.4709,45039,B12,OPP YEW TEE IND EST
27628.3418,31619.1262,13199,B02,OPP PATERSON LODGE
28549.87,44579.4066,59379,B03,OPP CHUNG CHENG HIGH SCH
19992.2325,32813.0926,20011,B16,BLK 506
31796.2475,36209.2946,66071,B04,OPP PUB RECREATION CLUB
29829.25,35451.2484,52271,B05,JACKSON SQ
28862.01,28667.4493,5519,B01,OPP MARITIME HSE
38743.2885,34759.2985,84321,B08,BLK 516
18117.1927,40253.4083,44459,B05,BLK 277
20604.641,30701.2744,17011,B01,OPP VARSITY PK
14543.4262,36877.7446,21241,B01,BLK 220
34935.0295,37940.7094,NIL,B09,DEFU AVE 1
13269.9653,36681.3098,27379,B01,BLK 755
29476.2035,36475.6662,53219,B01,RAFFLES INST
14065.5382,36329.9189,21399,B05,OPP RIVER VALLEY HIGH SCH
19047.3461,32758.5064,20319,B04,BLK 24
29406.23028,34414.49746,52479,B01,OPP ACS PR SCH
19330.4634,39901.9829,44131,B04,BLK 26
21702.9337,34470.728,12099,B06,OPP SIM HQ
30366.4848,36587.7924,53289,B02,ZION BIBLE PRESBY CH
6161.744701,34585.7464,25391,B10,OPP SUMITOMO WAREHSE
26829.8838,47591.0372,58101,B01,BLK 311
30371.717,35122.0922,52309,NIL,BLK 30
18073.7534,35858.8208,28631,B05,OPP BLK 288D
34291.9236,36994.5414,63109,B09,BLK 172
12509.8019,36594.065,27409,B02,BLK 821
25584.1469,30062.3675,10401,B03,SHRIRO HSE
30471.0756,31175.6327,1039,B09,NTH BRIDGE COMMERC CPLX
32696.1222,32478.7229,80111,B01,BEF GEYLANG RD
22762.9947,45958.604,46349,B02,AFT BLK 353
